1999	обострение ситуации в Чечне, взрывы жилых домов в Москве, Волгодонске, Буйнакске, [ввод войск на территорию Чечни](https://ja.wikipedia.org/wiki/%E7%AC%AC%E4%BA%8C%E6%AC%A1%E3%83%81%E3%82%A7%E3%83%81%E3%82%A7%E3%83%B3%E7%B4%9B%E4%BA%89) «с целью уничтожения боевиков».
31 декабря 1999	президент России Борис Ельцин уходит в отставку и назначает своим преемником Владимира Путина.
26 марта 2000	Владимир Путин официально избирается на первый президентский срок.
2000	новым гимном РФ назначается советский гимн в новой редакции.
апрель 2000	официальное окончание Второй чеченской войны. Партизанская война продолжалась до 2009 года.
октябрь 2002	захват террористами театрального центра на Дубровке в Москве. Погибли 125 заложников.
2000	«Дело [НТВ](https://ja.wikipedia.org/wiki/NTV_(%E3%83%AD%E3%82%B7%E3%82%A2))». Постепенная ликвидация независимого телевизионного канала, критически освещавшего войну в Чечне, теракты и политику Путина в целом.
2003	«Дело ЮКОСа». Арест и уголовное дело против главы нефтяной компании «Юкос» [Михаила Ходорковского.](https://ja.wikipedia.org/wiki/%E3%83%9F%E3%83%8F%E3%82%A4%E3%83%AB%E3%83%BB%E3%83%9B%E3%83%89%E3%83%AB%E3%82%B3%E3%83%95%E3%82%B9%E3%82%AD%E3%83%BC)
2003-2004	теракты в городах России, в самолетах, в Московском метро, после которых Путин произнес известную фразу: «Россия не ведет переговоров с террористами, она их уничтожает».
2003	отравление журналиста [Юрия Щекочихина](https://ja.wikipedia.org/wiki/%E3%83%A6%E3%83%BC%E3%83%AA%E3%83%BB%E3%82%B7%E3%82%A7%E3%82%B3%E3%83%81%E3%83%BC%E3%83%92%E3%83%B3), который занимался расследованием обстоятельств взрывов домов в Москве и Волгодонске и темой коррупции в органах власти.
март 2004	выборы президента. Владимир Путин переизбирается на второй срок.
1 сентября 2004	захват заложников в школе в Беслане. Погибли 333 человека, в том числе 186 детей.
2004	закон об отмене прямых выборов глав субъектов РФ, теперь они назначаются Кремлем.
2004	Эстония, Латвия, Болгария, Румыния, Словакия, Словения и Литва входят в НАТО. Спустя три года в [«Мюнхинской речи»](https://en.wikipedia.org/wiki/Munich_speech_of_Vladimir_Putin) Путин по поводу расширения НАТО скажет, что «мы видим пренебрежение основополагающими принципами международного права».
2004	[«Оранжевая революция»](https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8%E9%9D%A9%E5%91%BD) в Украине.
2005	изменение закона о выборах в Госдуму РФ. Теперь кандидаты обязаны проходить по партийным спискам, отменены одномандатные избирательные округа.
2006	принятие концепции [«суверенной демократии»](https://en.wikipedia.org/wiki/Sovereign_democracy).
7 октября 2006	убийство журналистки и правозащитницы [Анны Политковской](https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%B3%E3%83%8A%E3%83%BB%E3%83%9D%E3%83%AA%E3%83%88%E3%82%B3%E3%83%95%E3%82%B9%E3%82%AB%E3%83%A4), много занимавшейся войной в Чечне.
2007	«Мюнхенская речь». Приостановление в РФ действия [Договора об обычных вооруженных силах в Европе.](https://ja.wikipedia.org/wiki/%E3%83%A8%E3%83%BC%E3%83%AD%E3%83%83%E3%83%91%E9%80%9A%E5%B8%B8%E6%88%A6%E5%8A%9B%E6%9D%A1%E7%B4%84)
2008	согласно Конституции РФ Владимир Путин не имеет права переизбираться на третий срок. От главной российской партии «Единая Россия» в выборах участвует Дмитрий Медведев, бывший глава администрации Путина. Медведев выигрывает выборы. Путин становится председателем правительства страны.
август 2008	[Российско-грузинский военный конфликт.](https://ja.wikipedia.org/wiki/%E5%8D%97%E3%82%AA%E3%82%BB%E3%83%81%E3%82%A2%E7%B4%9B%E4%BA%89_(2008%E5%B9%B4))
2008	поправки к Конституции РФ, [увеличение президентского срока с 4 до 6 лет.](https://en.wikipedia.org/wiki/2008_amendments_to_the_Constitution_of_Russia)
2008	дело юриста [Сергея Магнитского.](https://ja.wikipedia.org/wiki/%E3%82%BB%E3%83%AB%E3%82%B2%E3%82%A4%E3%83%BB%E3%83%9E%E3%82%B0%E3%83%8B%E3%83%84%E3%82%AD%E3%83%BC)
15 июля 2009	убийство правозащитницы [Натальи Эстемировой.](https://en.wikipedia.org/wiki/Natalya_Estemirova)
2010	общественная кампания [«Путин должен уйти»](https://en.wikipedia.org/wiki/Putin_Must_Go): сбор подписей с требованием отставки Путина.
2011	Путин объявляет о том, что снова будет участвовать в выборах президента. Это получило название «рокировка». Путин заявляет, что о «рокировке» они договорились с Медведевым еще в 2007 году.
2011	[Массовое протестное движение.](https://ja.wikipedia.org/wiki/2011%E5%B9%B4%E3%83%AD%E3%82%B7%E3%82%A2%E5%8F%8D%E6%94%BF%E5%BA%9C%E9%81%8B%E5%8B%95) Создание [Фонда борьбы с коррупцией](https://en.wikipedia.org/wiki/Anti-Corruption_Foundation) Алексея Навального.
2011	Гражданская война в Ливии. Путин осудил НАТО за ввод своих войск.
2012	выборы президента. Владимир Путин [избирается на свой третий срок.](https://ja.wikipedia.org/wiki/2012%E5%B9%B4%E3%83%AD%E3%82%B7%E3%82%A2%E5%A4%A7%E7%B5%B1%E9%A0%98%E9%81%B8%E6%8C%99) На выборах массово фиксируются фальсификации.
2012	[Гражданская война в Сирии.](https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%AA%E3%82%A2%E5%86%85%E6%88%A6) Россия официально ввела в страну свои войска в 2015 году.
2012	[Сергей Шойгу](https://ja.wikipedia.org/wiki/%E3%82%BB%E3%83%AB%E3%82%B2%E3%82%A4%E3%83%BB%E3%82%B7%E3%83%A7%E3%82%A4%E3%82%B0) становится министром обороны. Реформы армии.
2012	возвращение статьи «О клевете» в Уголовный кодекс РФ. Теперь за распространение сведений, которые власть посчитает «порочащими честь и достоинство другого человека» (например, представителя власти), предусмотрены штрафы и исправительные работы.
2012	закон «об иностранных агентах». Неправительственные организации признаются «иностранными агентами», если они получают финансовую поддержку из других стран и по мнению российских властей занимаются политической деятельностью. Из-за новых юридических условий десяткам НКО из медицинской, культурной, социальной сфер пришлось прекратить свою деятельность.
2012	[«закон Ильдара Дадина».](https://en.wikipedia.org/wiki/Ildar_Dadin) Запрет на проведение собраний, митингов, демонстраций, маршей и пикетов несколько раз в течение шестимесячного периода. Ильдар Дадин, первый осужденный по этой статье, был приговорен к трем годам тюрьмы.
2012	[«закон Димы Яковлева»](https://en.wikipedia.org/wiki/Dima_Yakovlev_Law): запрет на усыновление детей-сирот из России гражданами США (считается ответом на санкции США в связи с «делом Магнитского»).
2013	Фонд борьбы с коррупцией начинает публиковать расследования о коррупционном имуществе российских политиков.
В 2013 году принимается ряд законов:
2013	закон о внесудебном закрытии интернет-ресурсов. Позволяет властям блокировать сайты, которые, по мнению властей, «призывают к массовым протестам или экстремизму», без решения суда.
